NUTS_ID;official_surface_area_2021;freq;landuse;unit
AL01;10820;A;TOTAL;KM2
AL02;4967;A;TOTAL;KM2
AL03;13004;A;TOTAL;KM2
AT11;3964;A;TOTAL;KM2
AT12;19179;A;TOTAL;KM2
AT13;415;A;TOTAL;KM2
AT21;9537;A;TOTAL;KM2
AT22;16398;A;TOTAL;KM2
AT31;11981;A;TOTAL;KM2
AT32;7154;A;TOTAL;KM2
AT33;12648;A;TOTAL;KM2
AT34;2602;A;TOTAL;KM2
BE10;162;A;TOTAL;KM2
BE21;2876;A;TOTAL;KM2
BE22;2429;A;TOTAL;KM2
BE23;3009;A;TOTAL;KM2
BE24;2118;A;TOTAL;KM2
BE25;3167;A;TOTAL;KM2
BE31;1097;A;TOTAL;KM2
BE32;3814;A;TOTAL;KM2
BE33;3858;A;TOTAL;KM2
BE34;4461;A;TOTAL;KM2
BE35;3676;A;TOTAL;KM2
BG31;19068;A;TOTAL;KM2
BG32;14812;A;TOTAL;KM2
BG33;14648;A;TOTAL;KM2
BG34;19801;A;TOTAL;KM2
BG41;20301;A;TOTAL;KM2
BG42;22366;A;TOTAL;KM2
CH01;8717;A;TOTAL;KM2
CH02;10061;A;TOTAL;KM2
CH03;1958;A;TOTAL;KM2
CH04;1728;A;TOTAL;KM2
CH05;11529;A;TOTAL;KM2
CH06;4482;A;TOTAL;KM2
CH07;2812;A;TOTAL;KM2
CY00;9253;A;TOTAL;KM2
CZ01;496;A;TOTAL;KM2
CZ02;10929;A;TOTAL;KM2
CZ03;17707;A;TOTAL;KM2
CZ04;8649;A;TOTAL;KM2
CZ05;12441;A;TOTAL;KM2
CZ06;13984;A;TOTAL;KM2
CZ07;9235;A;TOTAL;KM2
CZ08;5430;A;TOTAL;KM2
DE11;10556;A;TOTAL;KM2
DE12;6917;A;TOTAL;KM2
DE13;9355;A;TOTAL;KM2
DE14;8917;A;TOTAL;KM2
DE21;17528;A;TOTAL;KM2
DE22;10328;A;TOTAL;KM2
DE23;9691;A;TOTAL;KM2
DE24;7232;A;TOTAL;KM2
DE25;7243;A;TOTAL;KM2
DE26;8530;A;TOTAL;KM2
DE27;9991;A;TOTAL;KM2
DE30;891;A;TOTAL;KM2
DE40;29656;A;TOTAL;KM2
DE50;420;A;TOTAL;KM2
DE60;755;A;TOTAL;KM2
DE71;7445;A;TOTAL;KM2
DE72;5382;A;TOTAL;KM2
DE73;8288;A;TOTAL;KM2
DE80;23293;A;TOTAL;KM2
DE91;8116;A;TOTAL;KM2
DE92;9065;A;TOTAL;KM2
DE93;15542;A;TOTAL;KM2
DE94;14987;A;TOTAL;KM2
DEA1;5291;A;TOTAL;KM2
