Lon	Lat	Year	Total
11.25	59.25	2020	2.225
12.25	60.25	2020	0.665
12.25	61.25	2020	0.854
12.25	62.25	2020	3.349
11.75	63.25	2020	0.0
12.25	63.75	2020	2.672
12.75	64.25	2020	0.514
13.25	64.25	2020	0.449
13.75	64.25	2020	0.491
14.25	65.25	2020	0.17
14.25	65.75	2020	0.002
14.25	66.25	2020	0.002
14.75	66.25	2020	0.202
15.25	66.75	2020	0.0
15.75	67.25	2020	0.0
16.25	67.75	2020	0.0
17.25	68.25	2020	0.0
17.75	68.25	2020	0.0
18.25	68.75	2020	0.0
18.75	68.75	2020	0.0
19.75	68.75	2020	0.014
20.25	69.25	2020	0.0
25.25	69.25	2020	0.0
25.75	69.25	2020	5.347
28.75	69.25	2020	12.012
29.25	69.25	2020	2.471
9.25	48.25	2020	9.831
19.25	51.75	2020	3.597
2.25	42.25	2020	18.687
13.25	52.75	2020	7.413
3.25	43.75	2020	9.235
26.75	68.25	2020	20.16
17.25	54.75	2020	2.532
19.25	49.75	2020	9.055
16.25	61.75	2020	17.125
14.25	56.75	2020	17.313
7.75	48.25	2020	5.775
17.75	51.75	2020	3.843
-2.25	42.75	2020	10.362
-2.25	41.25	2020	3.079
23.75	63.75	2020	13.406
-3.25	42.25	2020	14.977
8.25	49.25	2020	6.018
27.75	62.75	2020	11.864
11.75	57.75	2020	4.91
-2.25	48.25	2020	2.407
20.75	49.25	2020	11.117
26.75	61.25	2020	14.624
15.75	59.75	2020	14.03
3.25	50.75	2020	0.346
8.75	41.75	2020	2.53
20.25	54.25	2020	3.982
12.75	61.25	2020	11.843
10.25	49.75	2020	4.313
22.25	51.75	2020	5.052
5.25	45.75	2020	4.844
12.75	47.75	2020	11.224
26.75	65.75	2020	29.758
20.25	49.25	2020	10.248
3.25	48.75	2020	2.765
12.25	57.25	2020	5.902
29.25	62.75	2020	12.445
11.25	53.25	2020	7.328
26.25	61.25	2020	15.111
9.75	47.25	2020	9.782
19.75	66.75	2020	19.245
17.25	66.25	2020	15.029
6.75	44.25	2020	10.672
18.25	50.75	2020	12.142
29.75	64.75	2020	23.417
10.25	46.25	2020	15.844
-0.75	42.75	2020	18.41
9.25	49.75	2020	11.676
-5.75	39.25	2020	0.838
28.75	62.75	2020	14.467
-2.25	47.75	2020	2.777
-4.25	40.75	2020	4.509
17.25	51.25	2020	5.315
-6.75	37.25	2020	0.79
19.75	67.25	2020	13.28
10.25	52.25	2020	2.985
4.75	46.25	2020	4.038
24.75	60.25	2020	6.424
-2.25	39.25	2020	0.577
-0.25	47.25	2020	1.662
-1.25	49.25	2020	0.109
13.25	61.75	2020	18.026
26.75	62.25	2020	17.883
16.75	53.75	2020	9.393
14.75	56.75	2020	16.836
12.75	52.25	2020	7.912
-1.25	38.25	2020	1.207
22.75	54.25	2020	3.91
-0.25	38.75	2020	1.373
14.25	56.25	2020	11.062
19.25	50.75	2020	5.931
12.75	60.75	2020	26.584
12.25	49.75	2020	10.382
4.25	49.75	2020	5.048
13.25	51.75	2020	7.242
16.75	53.25	2020	9.385
25.25	64.25	2020	17.431
-1.25	39.25	2020	5.919
17.75	63.75	2020	26.241
24.25	63.75	2020	14.084
19.25	49.25	2020	11.577
-4.25	42.75	2020	6.483
22.75	49.25	2020	8.985
3.25	47.75	2020	5.857
-1.75	43.25	2020	11.951
13.75	56.75	2020	15.316
16.25	49.25	2020	6.963
25.25	68.25	2020	20.111
-4.25	38.25	2020	3.734
16.25	62.25	2020	22.751
2.75	44.25	2020	6.658
21.25	53.75	2020	7.899
26.25	63.75	2020	16.898
7.75	50.25	2020	10.565
0.75	43.75	2020	0.726
2.25	50.25	2020	0.989
27.75	64.75	2020	37.271
0.25	40.25	2020	0.25
23.75	50.75	2020	3.8
-8.25	43.25	2020	6.144
-4.75	42.75	2020	13.731
7.25	50.75	2020	6.573
24.75	61.25	2020	15.224
18.75	52.75	2020	3.918
29.25	64.75	2020	34.406
25.25	61.25	2020	12.524
5.25	46.75	2020	4.432
2.75	42.75	2020	5.49
21.75	65.75	2020	14.929
14.75	58.25	2020	8.18
16.75	61.25	2020	16.762
27.75	61.25	2020	10.259
10.75	53.25	2020	9.764
16.25	58.75	2020	10.312
22.75	63.25	2020	13.823
27.75	60.75	2020	12.979
16.75	58.75	2020	7.81
16.75	63.75	2020	28.461
6.75	52.75	2020	3.219
-3.75	42.25	2020	2.391
-0.75	40.25	2020	10.187
1.75	41.75	2020	8.133
21.25	50.75	2020	4.229
23.75	61.25	2020	11.258
20.75	65.25	2020	28.07
17.75	62.75	2020	19.376
3.75	49.25	2020	5.749
23.25	65.75	2020	10.31
23.75	67.75	2020	21.434
-1.25	40.25	2020	6.585
11.75	52.25	2020	5.186
11.75	48.75	2020	5.461
3.25	44.75	2020	18.282
18.25	66.25	2020	14.897
25.25	67.25	2020	37.975
3.75	50.75	2020	1.101
7.75	51.25	2020	9.636
10.75	48.75	2020	5.021
25.75	61.75	2020	11.411
28.75	66.75	2020	28.447
16.75	52.25	2020	2.643
-3.25	41.25	2020	6.538
-6.75	43.25	2020	10.715
-1.25	39.75	2020	7.493
-2.25	36.75	2020	0.116
28.25	64.25	2020	18.763
-4.25	39.75	2020	2.468
13.25	50.75	2020	7.05
9.25	49.25	2020	5.831
13.75	63.75	2020	18.659
1.25	45.75	2020	6.216
17.25	65.25	2020	21.743
13.25	62.25	2020	15.967
8.75	42.25	2020	4.37
-5.25	42.75	2020	10.771
15.75	51.75	2020	7.825
19.75	52.75	2020	2.5
6.75	49.25	2020	6.446
8.75	47.25	2020	6.751
25.75	67.75	2020	29.446
18.25	64.75	2020	21.223
17.25	52.75	2020	6.032
