NUTS_ID,Year,weighted_avg_VegC,weighted_avg_LitterC,weighted_avg_SoilC,weighted_avg_HarvSlowC,weighted_avg_Total,intersected_surface_area_km2,official_surface_area_2021
AT12,1901,4.803,2.923,5.409,0.073,13.209,566.7425687339156,19179.0
AT12,1902,4.81,2.912,5.411,0.075,13.208,566.7425687339156,19179.0
AT12,1903,4.764,2.941,5.413,0.078,13.196,566.7425687339156,19179.0
AT12,1904,4.333,3.339,5.414,0.079,13.166,566.7425687339156,19179.0
AT12,1905,4.289,3.31,5.419,0.081,13.1,566.7425687339156,19179.0
AT12,1906,4.224,3.33,5.426,0.083,13.063,566.7425687339156,19179.0
AT12,1907,4.24,3.254,5.434,0.084,13.013,566.7425687339156,19179.0
AT12,1908,4.271,3.183,5.438,0.085,12.978,566.7425687339156,19179.0
AT12,1909,4.242,3.164,5.444,0.087,12.938,566.7425687339156,19179.0
AT12,1910,4.269,3.133,5.45,0.088,12.94,566.7425687339156,19179.0
AT12,1911,4.292,3.051,5.451,0.09,12.883,566.7425687339156,19179.0
AT12,1912,4.282,3.077,5.454,0.091,12.904,566.7425687339156,19179.0
AT12,1913,4.313,3.036,5.459,0.092,12.9,566.7425687339156,19179.0
AT12,1914,4.325,3.011,5.462,0.093,12.891,566.7425687339156,19179.0
AT12,1915,4.344,2.983,5.466,0.095,12.888,566.7425687339156,19179.0
AT12,1916,4.113,3.217,5.47,0.096,12.897,566.7425687339156,19179.0
AT12,1917,4.072,3.169,5.474,0.097,12.812,566.7425687339156,19179.0
AT12,1918,4.036,3.169,5.478,0.098,12.781,566.7425687339156,19179.0
AT12,1919,4.041,3.127,5.487,0.099,12.754,566.7425687339156,19179.0
AT12,1920,4.058,3.083,5.493,0.1,12.734,566.7425687339156,19179.0
AT12,1921,4.085,3.02,5.495,0.1,12.7,566.7425687339156,19179.0
AT12,1922,4.141,2.968,5.498,0.101,12.707,566.7425687339156,19179.0
AT12,1923,4.162,2.927,5.499,0.102,12.691,566.7425687339156,19179.0
AT12,1924,4.202,2.873,5.5,0.103,12.677,566.7425687339156,19179.0
AT12,1925,4.239,2.839,5.5,0.104,12.683,566.7425687339156,19179.0
AT12,1926,4.288,2.801,5.502,0.105,12.696,566.7425687339156,19179.0
AT12,1927,4.324,2.748,5.499,0.107,12.678,566.7425687339156,19179.0
AT12,1928,4.351,2.723,5.498,0.108,12.68,566.7425687339156,19179.0
AT12,1929,4.369,2.686,5.496,0.109,12.66,566.7425687339156,19179.0
AT12,1930,4.32,2.699,5.495,0.118,12.632,566.7425687339156,19179.0
AT12,1931,4.261,2.699,5.496,0.128,12.584,566.7425687339156,19179.0
AT12,1932,4.196,2.682,5.495,0.136,12.508,566.7425687339156,19179.0
AT12,1933,4.151,2.688,5.498,0.143,12.481,566.7425687339156,19179.0
AT12,1934,4.117,2.648,5.499,0.152,12.416,566.7425687339156,19179.0
AT12,1935,4.041,2.67,5.498,0.159,12.368,566.7425687339156,19179.0
AT12,1936,4.017,2.679,5.498,0.166,12.36,566.7425687339156,19179.0
AT12,1937,3.99,2.649,5.499,0.173,12.31,566.7425687339156,19179.0
AT12,1938,3.945,2.632,5.499,0.18,12.256,566.7425687339156,19179.0
AT12,1939,3.8609999999999998,2.685,5.5,0.187,12.233,566.7425687339156,19179.0
AT12,1940,3.852,2.673,5.505,0.194,12.223,566.7425687339156,19179.0
AT12,1941,3.7829999999999995,2.711,5.509,0.2,12.204,566.7425687339156,19179.0
AT12,1942,3.7579999999999996,2.676,5.511,0.207,12.152,566.7425687339156,19179.0
AT12,1943,3.703,2.69,5.509,0.213,12.116,566.7425687339156,19179.0
AT12,1944,3.537,2.829,5.511,0.219,12.096,566.7425687339156,19179.0
AT12,1945,3.521,2.786,5.512,0.224,12.043,566.7425687339156,19179.0
AT12,1946,3.494,2.748,5.513,0.22900000000000004,11.984,566.7425687339156,19179.0
AT12,1947,3.463,2.703,5.512,0.234,11.911,566.7425687339156,19179.0
AT12,1948,3.422,2.708,5.514,0.23899999999999996,11.883,566.7425687339156,19179.0
AT12,1949,3.392,2.701,5.518,0.242,11.853,566.7425687339156,19179.0
AT12,1950,3.36,2.668,5.517,0.242,11.787,566.7425687339156,19179.0
AT12,1951,3.353,2.632,5.518,0.241,11.744,566.7425687339156,19179.0
AT12,1952,3.359,2.596,5.52,0.24000000000000002,11.716,566.7425687339156,19179.0
AT12,1953,3.372,2.552,5.523,0.24000000000000002,11.688,566.7425687339156,19179.0
AT12,1954,3.376,2.535,5.526,0.241,11.677,566.7425687339156,19179.0
AT12,1955,3.387,2.518,5.53,0.242,11.678,566.7425687339156,19179.0
AT12,1956,3.398,2.495,5.532,0.242,11.667,566.7425687339156,19179.0
AT12,1957,3.385,2.492,5.531,0.24299999999999997,11.65,566.7425687339156,19179.0
AT12,1958,3.38,2.461,5.529,0.24299999999999997,11.613,566.7425687339156,19179.0
AT12,1959,3.397,2.442,5.527,0.24299999999999997,11.609,566.7425687339156,19179.0
AT12,1960,3.418,2.421,5.527,0.245,11.611,566.7425687339156,19179.0
AT12,1961,3.463,2.369,5.524,0.245,11.6,566.7425687339156,19179.0
AT12,1962,3.458,2.358,5.523,0.246,11.585,566.7425687339156,19179.0
AT12,1963,3.463,2.325,5.519,0.24699999999999997,11.553,566.7425687339156,19179.0
AT12,1964,3.477,2.298,5.515,0.24800000000000003,11.537,566.7425687339156,19179.0
AT12,1965,3.468,2.303,5.514,0.25,11.535,566.7425687339156,19179.0
AT12,1966,3.431,2.34,5.513,0.251,11.534,566.7425687339156,19179.0
AT12,1967,3.411,2.33,5.51,0.252,11.503,566.7425687339156,19179.0
AT12,1968,3.419,2.316,5.508,0.253,11.495,566.7425687339156,19179.0
AT12,1969,3.387,2.319,5.505,0.253,11.464,566.7425687339156,19179.0
AT12,1970,3.309,2.356,5.505,0.26,11.43,566.7425687339156,19179.0
AT12,1971,3.265,2.347,5.503,0.269,11.384,566.7425687339156,19179.0
AT12,1972,3.251,2.349,5.503,0.275,11.377,566.7425687339156,19179.0
