Lon;Lat;Year;Total;geometry;area_km2
11,25;59,25;2020;2,225;POLYGON ((4378588.166126667 3989193.4867839776, 4377767.28886688 4044768.941911694, 4406146.808968756 4045268.198088088, 4407378.083624235 3989699.1119816774, 4378588.166126667 3989193.4867839776));1589,0332709599534
12,25;60,25;2020;0,665;POLYGON ((4432872.18997793 4101514.9667300284, 4431215.459094163 4157049.3695884026, 4458757.20506145 4157924.7110565766, 4460827.9905518545 4102401.977838585, 4432872.18997793 4101514.9667300284));1542,491944054638
12,25;61,25;2020;0,854;POLYGON ((4429551.2135921195 4212569.233318298, 4427879.47969474 4268073.452447879, 4454587.493721905 4268925.146052312, 4456677.028520149 4213432.802313079, 4429551.2135921195 4212569.233318298));1495,455385903367
12,25;62,25;2020;3,349;POLYGON ((4426200.2835201565 4323560.920360798, 4424513.651080079 4379030.5293383915, 4450380.479874146 4379858.163059654, 4452488.633329823 4324400.635570828, 4426200.2835201565 4323560.920360798));1447,9379616536316
11,75;63,25;2020;0,0;POLYGON ((4397370.047087759 4433846.895972087, 4396093.910446398 4489287.017155379, 4421118.180907841 4489911.73435918, 4422819.608278089 4434481.170602545, 4397370.047087759 4433846.895972087));1399,9542538878113
12,25;63,75;2020;2,672;POLYGON ((4421118.180907841 4489911.73435918, 4419409.394651166 4545321.109842459, 4444000.584389588 4546111.8795786565, 4446136.423215805 4490714.89544214, 4421118.180907841 4489911.73435918));1375,7921585683298
12,75;64,25;2020;0,514;POLYGON ((4444000.584389588 4546111.8795786565, 4441855.5812478345 4601486.460259931, 4466010.545985308 4602437.614284468, 4468584.335131387 4547078.304766636, 4444000.584389588 4546111.8795786565));1351,5190565816401
13,25;64,25;2020;0,449;POLYGON ((4468584.335131387 4547078.304766636, 4466010.545985308 4602437.614284468, 4490156.701299038 4603561.604914525, 4493159.159363664 4548220.34270612, 4468584.335131387 4547078.304766636));1351,5190565738749
13,75;64,25;2020;0,491;POLYGON ((4493159.159363664 4548220.34270612, 4490156.701299038 4603561.604914525, 4514292.579361929 4604858.381895259, 4517723.569729922 4549537.94292722, 4493159.159363664 4548220.34270612));1351,5190565661476
14,25;65,25;2020;0,17;POLYGON ((4510846.993302106 4660154.856072412, 4507386.8623609105 4715426.251461721, 4530648.80020255 4716847.9724488, 4534540.933845769 4661600.567053818, 4510846.993302106 4660154.856072412));1302,647371856688
14,25;65,75;2020;0,002;POLYGON ((4507386.8623609105 4715426.251461721, 4503912.237109778 4770671.453257721, 4526740.368556938 4772068.988400213, 4530648.80020255 4716847.9724488, 4507386.8623609105 4715426.251461721));1278,0525896152567
14,25;66,25;2020;0,002;POLYGON ((4503912.237109778 4770671.453257721, 4500423.167876421 4825889.345893277, 4522815.695585543 4827262.499121967, 4526740.368556938 4772068.988400213, 4503912.237109778 4770671.453257721));1253,3544018753385
14,75;66,25;2020;0,202;POLYGON ((4526740.368556938 4772068.988400213, 4522815.695585543 4827262.499121967, 4545195.742125083 4828796.984181518, 4549555.83175599 4773630.722495574, 4526740.368556938 4772068.988400213));1253,3544023159934
15,25;66,75;2020;0,0;POLYGON ((4545195.742125083 4828796.984181518, 4540817.679437552 4883934.404844404, 4562746.865306384 4885599.791889683, 4567561.921672177 4830492.729179049, 4545195.742125083 4828796.984181518));1228,5547407858983
15,75;67,25;2020;0,0;POLYGON ((4562746.865306384 4885599.791889683, 4557912.1197255645 4940676.653610871, 4579387.748897455 4942466.8195055295, 4584661.030920605 4887423.470302602, 4562746.865306384 4885599.791889683));1203,655547954525
16,25;67,75;2020;0,0;POLYGON ((4579387.748897455 4942466.8195055295, 4574093.077368308 4997478.583564598, 4595112.535621833 4999387.330299353, 4600847.251080952 4944412.2788832355, 4579387.748897455 4942466.8195055295));1178,658778477842
17,25;68,25;2020;0,0;POLYGON ((4616114.8077379465 5001448.343584054, 4609915.503545781 5056350.443280516, 4630458.063920228 5058520.709205029, 4637098.5737972995 5003661.523398329, 4616114.8077379465 5001448.343584054));1153,5663999666149
17,75;68,25;2020;0,0;POLYGON ((4637098.5737972995 5003661.523398329, 4630458.063920228 5058520.709205029, 4650981.130359034 5060840.079443838, 4658062.514346863 5006026.762293029, 4637098.5737972995 5003661.523398329));1153,5664014896981
