Year;Lon;Lat;VegC;LitterC;SoilC;HarvSlowC;Total;Year.1;geometry;area_km2
1901;0;0,0;0,622;0,724;0,86;0,015;2,22;1901;POLYGON ((3022504.851476628 -2334955.4331896435, 3028015.338740267 -2235377.1780648436, 3150644.079299273 -2249115.134161654, 3145662.0283632614 -2348680.2150886506, 3022504.851476628 -2334955.4331896435));12308,695345541062
1902;0;0,5;0,623;0,723;0,861;0,015;2,222;1902;POLYGON ((3025229.2194334976 -2285216.22105736, 3030862.9233138054 -2185439.1691575106, 3153218.6956859147 -2199182.273243107, 3148125.1040484486 -2298948.0701849544, 3025229.2194334976 -2285216.22105736));12308,236565199899
1903;0;1,0;0,632;0,716;0,862;0,015;2,225;1903;POLYGON ((3028015.338740267 -2235377.1780648436, 3033771.690312869 -2135403.0607731277, 3155848.697708401 -2149150.35513423, 3150644.079299273 -2249115.134161654, 3028015.338740267 -2235377.1780648436));12306,865543547361
1904;0;1,5;0,632;0,718;0,863;0,016;2,229;1904;POLYGON ((3030862.9233138054 -2185439.1691575106, 3036741.3600698514 -2085269.7208582405, 3158533.8327349466 -2099020.249036777, 3153218.6956859147 -2199182.273243107, 3030862.9233138054 -2185439.1691575106));12304,582359969883
1905;0;2,0;0,634;0,692;0,864;0,016;2,206;1905;POLYGON ((3033771.690312869 -2135403.0607731277, 3039771.656024023 -2035040.018884791, 3161273.8509416417 -2048792.8256657925, 3155848.697708401 -2149150.35513423, 3033771.690312869 -2135403.0607731277));12301,38714636359
1906;0;2,5;0,613;0,703;0,864;0,017;2,196;1906;POLYGON ((3036741.3600698514 -2085269.7208582405, 3042862.3046562234 -1984714.8258669032, 3164068.505253453 -1998468.9572662795, 3158533.8327349466 -2099020.249036777, 3036741.3600698514 -2085269.7208582405));12297,280087152816
1907;0;3,0;0,618;0,692;0,864;0,017;2,191;1907;POLYGON ((3039771.656024023 -2035040.018884791, 3046013.0354249664 -1934295.0143778129, 3166917.5512864986 -1948049.5176299987, 3161273.8509416417 -2048792.8256657925, 3039771.656024023 -2035040.018884791));12292,261419317943
1908;0;3,5;0,601;0,712;0,864;0,017;2,194;1908;POLYGON ((3042862.3046562234 -1984714.8258669032, 3049223.5807039132 -1883781.4585670168, 3169820.7472915654 -1897535.3821124975, 3164068.505253453 -1998468.9572662795, 3042862.3046562234 -1984714.8258669032));12286,331432423382
1909;0;4,0;0,602;0,706;0,865;0,017;2,189;1909;POLYGON ((3046013.0354249664 -1934295.0143778129, 3052493.67572069 -1833175.034177483, 3172777.8540988388 -1846927.4276502123, 3166917.5512864986 -1948049.5176299987, 3046013.0354249664 -1934295.0143778129));12279,490468658436
1910;0;4,5;0,59;0,704;0,865;0,017;2,176;1910;POLYGON ((3049223.5807039132 -1883781.4585670168, 3055823.0584970065 -1782476.6185630392, 3175788.635063806 -1796226.5327777537, 3169820.7472915654 -1897535.3821124975, 3049223.5807039132 -1883781.4585670168));12271,738922887176
1911;0;5,0;0,594;0,705;0,866;0,017;2,182;1911;POLYGON ((3052493.67572069 -1833175.034177483, 3059211.4697900442 -1731687.0907058613, 3178852.8560143085 -1745433.5776453046, 3172777.8540988388 -1846927.4276502123, 3052493.67572069 -1833175.034177483));12263,07724269769
1912;0;5,5;0,597;0,702;0,866;0,017;2,183;1912;POLYGON ((3055823.0584970065 -1782476.6185630392, 3062658.6530350763 -1680807.3312340528, 3181970.285198712 -1694549.4440361094, 3175788.635063806 -1796226.5327777537, 3055823.0584970065 -1782476.6185630392));12253,505928465802
1913;0;6,0;0,597;0,708;0,867;0,018;2,189;1913;POLYGON ((3059211.4697900442 -1731687.0907058613, 3066164.3542893026 -1629838.2224393468, 3185140.6932351673 -1643575.015384093, 3178852.8560143085 -1745433.5776453046, 3059211.4697900442 -1731687.0907058613));12243,025533420188
1914;0;6,5;0,596;0,704;0,868;0,018;2,186;1914;POLYGON ((3062658.6530350763 -1680807.3312340528, 3069728.3221768457 -1578780.6482948363, 3188363.8530619293 -1592511.176791519, 3181970.285198712 -1694549.4440361094, 3062658.6530350763 -1680807.3312340528));12231,636663718238
1915;0;7,0;0,597;0,693;0,869;0,018;2,176;1915;POLYGON ((3066164.3542893026 -1629838.2224393468, 3073350.3078349065 -1527635.4944728054, 3191639.5398887126 -1541358.8150467556, 3185140.6932351673 -1643575.015384093, 3066164.3542893026 -1629838.2224393468));12219,339978527465
1916;0;7,5;0,605;0,681;0,869;0,018;2,173;1916;POLYGON ((3069728.3221768457 -1578780.6482948363, 3077030.064861021 -1476403.6483626002, 3194967.531149054 -1490118.8186420733, 3188363.8530619293 -1592511.176791519, 3069728.3221768457 -1578780.6482948363));12206,13619011084
1917;0;8,0;0,608;0,677;0,87;0,018;2,173;1917;POLYGON ((3073350.3078349065 -1527635.4944728054, 3080767.349261416 -1425085.99908851, 3198347.606453664 -1438792.0777914803, 3191639.5398887126 -1541358.8150467556, 3073350.3078349065 -1527635.4944728054));12192,026063924442
1918;0;8,5;0,597;0,693;0,87;0,018;2,179;1918;POLYGON ((3077030.064861021 -1476403.6483626002, 3084561.9194004256 -1373683.437527717, 3201779.547544731 -1387379.4844486173, 3194967.531149054 -1490118.8186420733, 3077030.064861021 -1476403.6483626002));12177,01041871499
1919;0;9,0;0,595;0,689;0,871;0,018;2,173;1919;POLYGON ((3080767.349261416 -1425085.99908851, 3088413.535950935 -1322196.8563282164, 3205263.1382511654 -1335881.9323246162, 3198347.606453664 -1438792.0777914803, 3080767.349261416 -1425085.99908851));12161,090126627823
1920;0;9,5;0,597;0,689;0,871;0,019;2,175;1920;POLYGON ((3084561.9194004256 -1373683.437527717, 3092321.9618458496 -1270627.1499267267, 3208798.1644447623 -1284300.3169059874, 3201779.547544731 -1387379.4844486173, 3084561.9194004256 -1373683.437527717));12144,266113323189
1921;0;10,0;0,607;0,689;0,872;0,019;2,187;1921;POLYGON ((3088413.535950935 -1322196.8563282164, 3096286.962230536 -1218975.2145666135, 3212384.4139972446 -1232635.53547249, 3205263.1382511654 -1335881.9323246162, 3088413.535950935 -1322196.8563282164));12126,539358092694
